TABLA DE MORTALIDAD DE RENTISTAS,,,,,
SEXO FEMENINO,,,,,
COLOMBIA (EXPERIENCIA 2005-2008),,,,,
Superbancaria Financiera de Colombia Resoluci�n 1555 de 2010,,,,,
y,ly,ey,dy,qy,py
0,1000000.00000,84.53838,0.00000,0.00000,1.00000
1,1000000.00000,83.53838,0.00000,0.00000,1.00000
2,1000000.00000,82.53838,0.00000,0.00000,1.00000
3,1000000.00000,81.53838,0.00000,0.00000,1.00000
4,1000000.00000,80.53838,0.00000,0.00000,1.00000
5,1000000.00000,79.53838,0.00000,0.00000,1.00000
6,1000000.00000,78.53838,0.00000,0.00000,1.00000
7,1000000.00000,77.53838,0.00000,0.00000,1.00000
8,1000000.00000,76.53838,0.00000,0.00000,1.00000
9,1000000.00000,75.53838,0.00000,0.00000,1.00000
10,1000000.00000,74.53838,0.00000,0.00000,1.00000
11,1000000.00000,73.53838,0.00000,0.00000,1.00000
12,1000000.00000,72.53838,0.00000,0.00000,1.00000
13,1000000.00000,71.53838,0.00000,0.00000,1.00000
14,1000000.00000,70.53838,0.00000,0.00000,1.00000
15,1000000.00000,70.03838,272.00000,0.00027,0.99973
16,999728.00000,69.05730,278.00000,0.00028,0.99972
17,999450.00000,68.07637,285.00000,0.00029,0.99971
18,999165.00000,67.09564,293.00000,0.00029,0.99971
19,998872.00000,66.11518,302.00000,0.00030,0.99970
20,998570.00000,65.13502,311.00000,0.00031,0.99969
21,998259.00000,64.15516,321.00000,0.00032,0.99968
22,997938.00000,63.17564,332.00000,0.00033,0.99967
23,997606.00000,62.19649,344.00000,0.00034,0.99966
24,997262.00000,61.21778,357.00000,0.00036,0.99964
25,996905.00000,60.23952,372.00000,0.00037,0.99963
26,996533.00000,59.26182,388.00000,0.00039,0.99961
27,996145.00000,58.28471,405.00000,0.00041,0.99959
28,995740.00000,57.30821,425.00000,0.00043,0.99957
29,995315.00000,56.33247,446.00000,0.00045,0.99955
30,994869.00000,55.35750,469.00000,0.00047,0.99953
31,994400.00000,54.38337,494.00000,0.00050,0.99950
32,993906.00000,53.41015,522.00000,0.00053,0.99947
33,993384.00000,52.43795,552.00000,0.00056,0.99944
34,992832.00000,51.46683,585.00000,0.00059,0.99941
35,992247.00000,50.49688,622.00000,0.00063,0.99937
36,991625.00000,49.52824,662.00000,0.00067,0.99933
37,990963.00000,48.56099,705.00000,0.00071,0.99929
38,990258.00000,47.59521,753.00000,0.00076,0.99924
39,989505.00000,46.63105,806.00000,0.00081,0.99919
40,988699.00000,45.66865,863.00000,0.00087,0.99913
41,987836.00000,44.70812,926.00000,0.00094,0.99906
42,986910.00000,43.74960,994.00000,0.00101,0.99899
43,985916.00000,42.79320,1070.00000,0.00109,0.99891
44,984846.00000,41.83915,1152.00000,0.00117,0.99883
45,983694.00000,40.88756,1242.00000,0.00126,0.99874
46,982452.00000,39.93862,1341.00000,0.00136,0.99864
47,981111.00000,38.99252,1448.00000,0.00148,0.99852
48,979663.00000,38.04942,1566.00000,0.00160,0.99840
49,978097.00000,37.10954,1695.00000,0.00173,0.99827
50,976402.00000,36.17309,1836.00000,0.00188,0.99812
51,974566.00000,35.24030,1990.00000,0.00204,0.99796
52,972576.00000,34.31138,2158.00000,0.00222,0.99778
53,970418.00000,33.38657,2341.00000,0.00241,0.99759
54,968077.00000,32.46609,2541.00000,0.00262,0.99738
55,965536.00000,31.55022,2735.00000,0.00283,0.99717
56,962801.00000,30.63842,2950.00000,0.00306,0.99694
57,959851.00000,29.73105,3189.00000,0.00332,0.99668
58,956662.00000,28.82849,3456.00000,0.00361,0.99639
59,953206.00000,27.93120,3752.00000,0.00394,0.99606
60,949454.00000,27.03960,4082.00000,0.00430,0.99570
61,945372.00000,26.15420,4447.00000,0.00470,0.99530
62,940925.00000,25.27544,4853.00000,0.00516,0.99484
63,936072.00000,24.40389,5303.00000,0.00567,0.99433
64,930769.00000,23.54008,5801.00000,0.00623,0.99377
65,924968.00000,22.68458,6351.00000,0.00687,0.99313
66,918617.00000,21.83795,6959.00000,0.00758,0.99242
