TABLA DE MORTALIDAD DE INVALIDOS,,,,,
SEXO FEMENINO,,,,,
COLOMBIA,,,,,
Superbancaria Resoluci�n 0585 de 1994,,,,,
y,ly,ey,dy,qy,py
0,1000000,54.8730,9111.8508,0.0091,0.9909
1,990888.1492,54.3776,9036.7992,0.0091,0.9909
2,981851.3500,53.8780,8962.9070,0.0091,0.9909
3,972888.4430,53.3744,8890.1968,0.0091,0.9909
4,963998.2462,52.8666,8818.6931,0.0091,0.9909
5,955179.5531,52.3547,8748.4228,0.0092,0.9908
6,946431.1303,51.8387,8679.4146,0.0092,0.9908
7,937751.7157,51.3185,8611.7005,0.0092,0.9908
8,929140.0152,50.7941,8545.3142,0.0092,0.9908
9,920594.7010,50.2656,8480.2925,0.0092,0.9908
10,912114.4085,49.7329,8416.6755,0.0092,0.9908
11,903697.7330,49.1961,8354.5058,0.0092,0.9908
12,895343.2272,48.6552,8293.8298,0.0093,0.9907
13,887049.3974,48.1101,8234.6970,0.0093,0.9907
14,878814.7004,47.5609,8177.1610,0.0093,0.9907
15,870637.5394,47.5076,8121.2791,0.0093,0.9907
16,862516.2603,46.9502,8067.1130,0.0094,0.9906
17,854449.1474,46.3888,8014.7286,0.0094,0.9906
18,846434.4188,45.8233,7964.1968,0.0094,0.9906
19,838470.2220,45.2538,7915.5933,0.0094,0.9906
20,830554.6286,44.6803,7868.9992,0.0095,0.9905
21,822685.6294,44.1029,7824.5011,0.0095,0.9905
22,814861.1283,43.5216,7782.1915,0.0096,0.9904
23,807078.9368,42.9364,7742.1691,0.0096,0.9904
24,799336.7678,42.3474,7704.5393,0.0096,0.9904
25,791632.2284,41.7547,7669.4144,0.0097,0.9903
26,783962.8141,41.1583,7636.9138,0.0097,0.9903
27,776325.9003,40.5583,7607.1646,0.0098,0.9902
28,768718.7357,39.9547,7580.3021,0.0099,0.9901
29,761138.4336,39.3476,7556.4697,0.0099,0.9901
30,753581.9639,38.7372,7535.8198,0.0100,0.9900
31,746046.1441,38.1234,7518.5137,0.0101,0.9899
32,738527.6304,37.5064,7504.7223,0.0102,0.9898
33,731022.9081,36.8863,7494.6264,0.0103,0.9897
34,723528.2817,36.2632,7488.4168,0.0103,0.9897
35,716039.8649,35.6372,7486.2949,0.0105,0.9895
36,708553.5699,35.0085,7488.4728,0.0106,0.9894
37,701065.0971,34.3771,7495.1735,0.0107,0.9893
38,693569.9236,33.7432,7506.6310,0.0108,0.9892
39,686063.2926,33.1069,7523.0908,0.0110,0.9890
40,678540.2018,32.4684,7544.8093,0.0111,0.9889
41,670995.3924,31.8279,7572.0541,0.0113,0.9887
42,663423.3383,31.1855,7605.1036,0.0115,0.9885
43,655818.2347,30.5413,7644.2467,0.0117,0.9883
44,648173.9880,29.8956,7689.7819,0.0119,0.9881
45,640484.2061,29.2485,7742.0171,0.0121,0.9879
46,632742.1890,28.6003,7801.2681,0.0123,0.9877
47,624940.9209,27.9511,7867.8572,0.0126,0.9874
48,617073.0637,27.3011,7942.1119,0.0129,0.9871
49,609130.9518,26.6505,8024.3624,0.0132,0.9868
50,601106.5894,25.9996,8114.9395,0.0135,0.9865
51,592991.6499,25.3486,8214.1713,0.0139,0.9861
52,584777.4786,24.6976,8322.3797,0.0142,0.9858
53,576455.0989,24.0470,8439.8758,0.0146,0.9854
54,568015.2230,23.3968,8566.9557,0.0151,0.9849
55,559448.2673,22.7475,8703.8937,0.0156,0.9844
56,550744.3736,22.0991,8850.9364,0.0161,0.9839
57,541893.4372,21.4518,9008.2942,0.0166,0.9834
58,532885.1430,20.8060,9176.1333,0.0172,0.9828
59,523709.0097,20.1618,9354.5647,0.0179,0.9821
60,514354.4450,19.5194,9543.6337,0.0186,0.9814
61,504810.8112,18.8790,9743.3067,0.0193,0.9807
62,495067.5045,18.2407,9953.4570,0.0201,0.9799
63,485114.0475,17.6047,10173.8494,0.0210,0.9790
64,474940.1980,16.9711,10404.1228,0.0219,0.9781
65,464536.0752,16.3400,10643.7713,0.0229,0.9771
66,453892.3040,15.7114,10892.1243,0.0240,0.9760
67,443000.1797,15.0854,11148.3250,0.0252,0.9748
68,431851.8547,14.4620,11411.3073,0.0264,0.9736
69,420440.5474,13.8409,11679.7728,0.0278,0.9722
70,408760.7745,13.2221,11952.1668,0.0292,0.9708
71,396808.6078,12.6053,12632.7273,0.0318,0.9682
72,384175.8805,12.0034,13325.7956,0.0347,0.9653
73,370850.0849,11.4167,14024.3813,0.0378,0.9622
74,356825.7036,10.8458,14719.9604,0.0413,0.9587
75,342105.7433,10.2909,15402.3696,0.0450,0.9550
76,326703.3736,9.7525,16059.7345,0.0492,0.9508
77,310643.6391,9.2309,16678.4555,0.0537,0.9463
78,293965.1837,8.7262,17243.2733,0.0587,0.9413
79,276721.9103,8.2388,17737.4385,0.0641,0.9359
80,258984.4718,7.7688,18143.0086,0.0701,0.9299
81,240841.4633,7.3164,18441.2996,0.0766,0.9234
82,222400.1636,6.8816,18613.5113,0.0837,0.9163
83,203786.6524,6.4645,18641.5387,0.0915,0.9085
84,185145.1137,6.0651,18508.9699,0.1000,0.9000
85,166636.1437,5.6832,18202.2501,0.1092,0.8908
86,148433.8937,5.3188,17711.9644,0.1193,0.8807
87,130721.9293,4.9717,17034.1651,0.1303,0.8697
88,113687.7642,4.6417,16171.6290,0.1422,0.8578
89,97516.1352,4.3286,15134.9019,0.1552,0.8448
90,82381.2333,4.0319,13942.9581,0.1692,0.8308
91,68438.2752,3.7515,12623.2966,0.1844,0.8156
92,55814.9785,3.4869,11211.3095,0.2009,0.7991
93,44603.6690,3.2376,9748.8117,0.2186,0.7814
94,34854.8574,3.0033,8281.7107,0.2376,0.7624
95,26573.1467,2.7835,6856.9239,0.2580,0.7420
96,19716.2228,2.5777,5518.7989,0.2799,0.7201
97,14197.4239,2.3853,4305.4423,0.3033,0.6967
98,9891.9816,2.2059,3245.4623,0.3281,0.6719
99,6646.5193,2.0389,2355.6556,0.3544,0.6456
100,4290.8637,1.8838,1640.0759,0.3822,0.6178
101,2650.7878,1.7400,1090.7075,0.4115,0.5885
102,1560.0803,1.6069,689.6657,0.4421,0.5579
103,870.4146,1.4839,412.5240,0.4739,0.5261
104,457.8907,1.3704,232.1215,0.5069,0.4931
105,225.7692,1.2652,122.1159,0.5409,0.4591
106,103.6533,1.1667,59.6610,0.5756,0.4244
107,43.9923,1.0708,26.8691,0.6108,0.3892
108,17.1233,0.9666,11.0642,0.6462,0.3538
109,6.0590,0.8186,4.1287,0.6814,0.3186
110,1.9303,1.5000,1.9303,1,0
111,0,,0,1,
